INDIGO;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;Id;Fecha_orden;Tipo Prioridad;Categoria;Subcategoria;Producto;Cantidad;Ventas;Margen;Descuento;Utilidad;Precio_venta;Precio_costo;Costo_envio;Modo_envio;Nombre_cliente;Pais;Prov. / Depto.;Segmento;Empaque;Fecha_envio;Canal de Venta
;3;13/10/2010;1;1;Organizadores;Eldon Base for stackable storage shelf, platinum;6; 70,80 ;45%;4%; 174,17 ; 442,81 ; 38,94 ; 35,00 ;1;Muhammed MacIntyre;1;91;1;1;20/10/2010;1
;6;20/2/2012;2;1;Tijeras;Kleencut Forged Office Shears by Acme United Corporation;2; 4,33 ;52%;1%; 4,42 ; 11,14 ; 2,08 ; 2,56 ;1;Ruben Dartt;2;29;2;2;21/2/2012;4
;32;15/7/2011;3;3;Perifericos;Imation 3.5 IBM Diskettes, 10/Box;15; 18,39 ;54%;4%; 137,93 ; 273,82 ; 8,46 ; 8,99 ;1;Liz Pelletier;3;113;2;2;16/7/2011;2
;32;15/7/2011;3;2;Mobiliario;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";26; 195,51 ;45%;7%; 1.931,63 ; 4.733,22 ; 107,53 ; 5,81 ;1;Liz Pelletier;2;31;2;3;17/7/2011;1
;32;15/7/2011;3;2;Mesas;KI Conference Tables;24; 141,78 ;50%;9%; 1.395,12 ; 3.185,78 ; 70,89 ; 89,30 ;2;Liz Pelletier;2;31;2;4;16/7/2011;3
;32;15/7/2011;3;3;Telefonos;Bell Sonecor JB700 Caller ID;23; 12,29 ;35%;4%; 87,64 ; 276,44 ; 7,99 ; 5,03 ;1;Liz Pelletier;2;24;2;3;17/7/2011;2
;35;22/10/2011;2;1;Boligrafos;Dixon Ticonderoga Core-Lock Colored Pencils;30; 19,80 ;54%;3%; 303,01 ; 578,56 ; 9,11 ; 2,25 ;1;Julie Creighton;2;29;2;5;23/10/2011;3
;35;22/10/2011;2;3;Telefonos;CF 688;14; 288,87 ;46%;1%; 1.819,88 ; 4.012,73 ; 155,99 ; 8,99 ;1;Julie Creighton;2;28;2;6;24/10/2011;1
;36;2/11/2011;4;3;Telefonos;6162i;46; 111,85 ;41%;10%; 1.594,94 ; 4.634,68 ; 65,99 ; 4,20 ;1;Sample Company A;2;32;3;6;2/11/2011;4
;65;17/3/2011;4;3;Perifericos;Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle;32; 218,47 ;47%;2%; 3.145,99 ; 6.853,26 ; 115,79 ; 1,99 ;1;Tamara Dahlen;4;8;2;2;18/3/2011;4
;66;19/1/2009;1;1;Boligrafos;Newell 340;41; 5,14 ;44%;9%; 73,80 ; 192,58 ; 2,88 ; 0,70 ;1;Arthur Gainer;2;25;4;5;19/1/2009;2
;69;3/6/2009;2;2;Mobiliario;Advantus Employee of the Month Certificate Frame, 11 x 13-1/2;42; 49,10 ;37%;9%; 577,36 ; 1.880,34 ; 30,93 ; 3,92 ;1;Jonathan Doherty;3;118;2;2;5/6/2009;4
;69;3/6/2009;2;1;Boligrafos;Newell 308;28; 2,63 ;36%;3%; 24,26 ; 72,00 ; 1,68 ; 0,70 ;3;Jonathan Doherty;3;110;2;5;5/6/2009;4
;70;17/12/2010;1;1;Ligas;Super Bands, 12/Pack;48; 3,38 ;45%;3%; 68,18 ; 160,04 ; 1,86 ; 2,58 ;1;Helen Wasserman;5;39;3;5;22/12/2010;4
;70;17/12/2010;1;3;Telefonos;Polyproplyene Holder;46; 337,69 ;39%;5%; 5.281,45 ; 14.762,98 ; 205,99 ; 5,99 ;1;Helen Wasserman;5;45;3;6;22/12/2010;1
;96;16/4/2009;3;3;Telefonos;SC7868i;37; 203,21 ;38%;1%; 2.781,94 ; 7.452,56 ; 125,99 ; 8,99 ;1;Keith Dawkins;3;112;3;6;18/4/2009;1
;97;28/1/2010;5;1;Etiquetas;Avery 498;26; 5,07 ;43%;3%; 52,73 ; 128,37 ; 2,89 ; 0,50 ;1;Craig Yedwab;6;144;4;6;29/1/2010;1
;129;18/11/2012;1;1;Papel;Xerox 217;4; 10,29 ;37%;9%; 11,52 ; 45,63 ; 6,48 ; 8,19 ;1;Pauline Chand;4;7;2;6;27/11/2012;1
;130;7/5/2012;3;3;Maquinas de oficina;Canon MP41DH Printing Calculator;3; 308,12 ;51%;5%; 425,21 ; 892,14 ; 150,98 ; 13,99 ;3;Roy Collins;3;111;2;3;9/5/2012;3
;130;7/5/2012;3;1;Papel;Computer Printout Paper with Letter-Trim Perforations;29; 31,10 ;39%;2%; 333,69 ; 892,85 ; 18,97 ; 9,03 ;1;Roy Collins;3;104;2;6;8/5/2012;4
;130;7/5/2012;3;1;Organizadores;Filing/Storage Totes and Swivel Casters;23; 14,94 ;35%;5%; 103,08 ; 335,86 ; 9,71 ; 9,45 ;1;Roy Collins;3;112;2;6;10/5/2012;4
;132;10/6/2010;5;2;Librerias;O'Sullivan Elevations Bookcase, Cherry Finish;30; 229,79 ;43%;5%; 2.619,60 ; 6.603,74 ; 130,98 ; 54,74 ;2;Emily Phan;7;70;4;4;13/6/2010;4
;132;10/6/2010;5;3;Telefonos;Bell Sonecor JB700 Caller ID;27; 17,76 ;55%;3%; 249,29 ; 470,05 ; 7,99 ; 5,03 ;1;Emily Phan;5;43;4;3;11/6/2010;4
;134;30/4/2012;2;1;Organizadores;Safco Industrial Wire Shelving;11; 152,37 ;37%;1%; 603,37 ; 1.694,26 ; 95,99 ; 35,00 ;1;Michael Dominguez;4;1;3;1;2/5/2012;4
;135;20/10/2011;2;3;Perifericos;"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack";25; 8,30 ;40%;9%; 64,33 ; 193,45 ; 4,98 ; 4,62 ;1;Anne Pryor;5;43;4;2;22/10/2011;2
;166;11/9/2011;3;3;Telefonos;i270;10; 103,11 ;36%;2%; 350,57 ; 1.019,46 ; 65,99 ; 8,99 ;3;Valerie Takahito;3;107;4;6;13/9/2011;3
;193;7/8/2010;4;1;Organizadores;Eldon Simplefile Box Office;14; 20,73 ;40%;6%; 98,69 ; 279,12 ; 12,44 ; 6,27 ;1;Justin Hirsh;5;46;4;3;9/8/2010;3
;194;4/4/2012;5;2;Mobiliario;Master Caster Door Stop, Large Neon Orange;49; 13,00 ;44%;10%; 216,58 ; 581,28 ; 7,28 ; 7,98 ;1;Maria Zettner;2;26;2;5;6/4/2012;1
;194;4/4/2012;5;1;Tijeras;Serrated Blade or Curved Handle Hand Letter Openers;6; 5,15 ;39%;4%; 10,81 ; 31,57 ; 3,14 ; 1,92 ;1;Maria Zettner;2;30;2;5;6/4/2012;4
;195;27/12/2010;5;1;Boligrafos;Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set;34; 81,22 ;55%;3%; 1.436,01 ; 2.692,60 ; 36,55 ; 13,89 ;1;Brad Thomas;6;124;3;5;29/12/2010;3
;197;6/4/2011;3;1;Tijeras;"Acme 8"" Straight Scissors";23; 28,22 ;54%;1%; 343,97 ; 645,65 ; 12,98 ; 3,14 ;1;Penelope Sewall;3;106;3;2;8/4/2011;4
;224;17/6/2009;2;2;Mobiliario;Eldon Expressions Wood Desk Accessories, Oak;25; 15,70 ;53%;9%; 172,72 ; 362,43 ; 7,38 ; 5,21 ;1;Bart Folk;6;145;2;6;18/6/2009;3
;224;17/6/2009;2;1;Papel;Xerox 193;44; 9,65 ;38%;4%; 144,29 ; 412,56 ; 5,98 ; 5,15 ;1;Bart Folk;6;145;2;6;18/6/2009;4
;224;17/6/2009;2;1;Organizadores;Decoflex Hanging Personal Folder File, Blue;33; 29,09 ;47%;4%; 412,85 ; 932,39 ; 15,42 ; 10,68 ;1;Bart Folk;6;144;2;6;18/6/2009;2
;225;24/5/2011;4;1;Boligrafos;Newell 314;24; 12,40 ;55%;6%; 145,82 ; 280,44 ; 5,58 ; 0,70 ;1;Karen Ferguson;5;34;3;5;25/5/2011;4
;225;24/5/2011;4;1;Boligrafos;Prismacolor Color Pencil Set;1; 37,43 ;47%;5%; 15,72 ; 39,66 ; 19,84 ; 4,10 ;1;Karen Ferguson;5;36;3;5;26/5/2011;4
;229;28/12/2010;4;2;Mobiliario;Nu-Dell Executive Frame;43; 21,07 ;40%;11%; 262,70 ; 811,20 ; 12,64 ; 4,98 ;1;Matt Abelman;7;48;4;2;30/12/2010;1
;229;28/12/2010;4;1;Carpetas;GBC Standard Therm-A-Bind Covers;24; 54,17 ;54%;2%; 676,09 ; 1.287,15 ; 24,92 ; 12,98 ;1;Peter Fuller;3;112;4;6;29/12/2010;3
;230;26/10/2010;4;1;Boligrafos;Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener;47; 82,98 ;47%;6%; 1.599,05 ; 3.675,10 ; 43,98 ; 8,99 ;1;Erin Creighton;4;17;2;2;28/10/2010;2
;230;26/10/2010;4;3;Telefonos;StarTAC ST7762;11; 251,98 ;50%;6%; 1.219,58 ; 2.613,55 ; 125,99 ; 8,08 ;1;Erin Creighton;4;12;2;6;28/10/2010;1
;231;28/9/2009;3;1;Accesorios;Hoover WindTunnel Plus Canister Vacuum;2; 772,87 ;53%;6%; 726,50 ; 1.472,99 ; 363,25 ; 19,99 ;1;Sean Braxton;3;117;1;6;30/9/2009;4
;258;28/12/2010;4;1;Papel;Xerox 1984;21; 10,62 ;39%;0%; 87,00 ; 231,82 ; 6,48 ; 8,74 ;1;Liz Willingham;7;48;3;6;30/12/2010;4
;258;28/12/2010;4;1;Organizadores;Tennsco Lockers, Gray;7; 36,81 ;43%;0%; 110,79 ; 310,68 ; 20,98 ; 53,03 ;2;Liz Willingham;7;73;3;7;29/12/2010;2
;258;28/12/2010;4;1;Carpetas;Wilson Jones Four-Pocket Poly Binders;33; 13,35 ;51%;2%; 215,82 ; 436,91 ; 6,54 ; 5,27 ;1;Liz Willingham;5;46;3;6;30/12/2010;3
;261;28/6/2010;5;3;Telefonos;Polyproplyene Holder;47; 281,98 ;50%;4%; 6.096,41 ; 12.727,14 ; 140,99 ; 4,20 ;1;Sonia Sunley;2;29;1;6;29/6/2010;2
;263;16/5/2009;3;1;Carpetas;3M Organizer Strips;25; 8,71 ;38%;9%; 63,15 ; 205,93 ; 5,40 ; 7,78 ;1;Paul Lucas;6;133;2;6;17/5/2009;3
;290;5/1/2009;2;1;Papel;"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4";24; 13,89 ;45%;5%; 133,35 ; 322,54 ; 7,64 ; 5,83 ;1;Dorris Love;5;40;3;5;6/1/2009;3
;292;12/1/2012;3;1;Sobres;#6 3/4 Gummed Flap White Envelopes;43; 17,68 ;44%;8%; 273,66 ; 700,75 ; 9,90 ; 1,39 ;1;Valerie Takahito;3;119;4;6;13/1/2012;2
;293;1/10/2012;3;1;Accesorios;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";49; 325,25 ;36%;7%; 4.621,80 ; 14.889,66 ; 208,16 ; 68,02 ;2;Barry French;1;98;4;7;2/10/2012;3
;293;1/10/2012;3;1;Carpetas;Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl;27; 13,37 ;35%;1%; 122,73 ; 360,35 ; 8,69 ; 2,99 ;1;Barry French;1;83;4;6;3/10/2012;1
;294;15/7/2010;5;1;Organizadores;Fellowes Staxonsteel Drawer Files;35; 297,18 ;35%;6%; 3.016,42 ; 9.797,36 ; 193,17 ; 19,99 ;1;Sanjit Chand;2;25;3;6;16/7/2010;3
;322;18/3/2012;4;3;Telefonos;I888 World Phone;20; 339,11 ;54%;8%; 3.119,80 ; 6.247,68 ; 155,99 ; 8,08 ;1;Giulietta Weimer;2;27;2;6;20/3/2012;3
;322;18/3/2012;4;1;Papel;Xerox 1997;46; 10,80 ;40%;10%; 149,04 ; 457,17 ; 6,48 ; 10,05 ;1;Giulietta Weimer;2;26;2;6;20/3/2012;4
;323;25/3/2009;4;1;Sobres;Staples Standard Envelopes;20; 11,36 ;50%;7%; 97,70 ; 212,69 ; 5,68 ; 1,39 ;1;Dario Medina;6;123;1;6;27/3/2009;4
;323;25/3/2009;4;1;Papel;Xerox 1964;2; 35,69 ;36%;6%; 21,41 ; 78,63 ; 22,84 ; 11,54 ;1;Dario Medina;6;123;1;6;27/3/2009;2
;324;19/3/2012;4;3;Telefonos;VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine;25; 359,98 ;50%;2%; 4.319,76 ; 8.833,50 ; 179,99 ; 13,99 ;1;Frank Gastineau;3;106;1;3;21/3/2012;1
